name,price
Python科学计算和数据科学应用 使用NumPy、SciPy和matplotlib(第2 ,154.40
图解Python+图解算法 轻松快速掌握实力派脚本语言&程序设计精华（套装2册）,104.90
量化投资 以Python为工具 Python语言处理数据Python金融 量化投资Python实战,65.80
OpenCV 3计算机视觉：Python语言实现（原书第2版）,34.30
Python入门到人工智能实战,61.20
Python机器学习实践指南(异步图书出品),31.05
Python计算机视觉编程(图灵出品),56.90
Python+Spark 2.0+Hadoop机器学习与大数据实战,44.55
Python 3 面向对象编程（第2版）(博文视点出品),88.10
零基础搭建量化投资系统――以Python为工具(博文视点出品),88.10
【自营】HTML+CSS+JavaScript/+C语言+java+python编程入门指南 SQL/Visual/Web/JSP/MySQL/Django/Pygame/Flask,160.00
剑指Offer 名企面试官精讲典型编程题第2版 java python c 程序员面试宝典 offe,48.00
Python程序员面试算法宝典,53.60
Python程序设计现代方法,39.80
Python高级编程 第2版(异步图书出品),40.05
PYTHON基础教程 第三版 ,70.30
ABAQUS Python二次开发攻略 CAE分析大系,29.90
我的Python世界 玩《Minecraft我的世界》学Python编程,34.50
Python数据可视化编程实战 第2版(异步图书出品),31.05
对比Excel，轻松学习Python数据分析 ,43.10
图灵程序设计丛书·Python数据分析基础教程：NumPy学习指南（第2版）(图灵出品）,34.60
Head First Python（第二版）,90.40
机器学习（Python+sklearn+TensorFlow 2.0）-微课视频版,65.20
大话Python机器学习,44.90
Python编程双子星：像计算机科学家一样思考Python+Python cookbook 第3版中文版（京东套装共2册）,110.80
Python全栈开发三剑客 （京东套装共3册）,262.60
零基础轻松学Python(博文视点出品),52.50
写给系统管理员的Python脚本编程指南(异步图书出品),31.05
包邮 Python语言程序设计基础(第2版)-嵩天、礼欣、黄天羽-高等教育出版社,32.80
Python机器学习实战案例,17.55
Python可以这样学,31.05
数据结构和算法 Python和C++语言描述(异步图书出品),62.80
Python实战开发全能套装（京东套装共3册）,357.30
Python数据分析 第2版(异步图书出品),31.05
计算机视觉框架MXNet与Python人脸识别 套装共2册,110.60
机器学习：使用OpenCV和Python进行智能图像处理,48.30
从Python开始学编程(博文视点出品),43.60
Python高效开发实战：Django、Tornado、Flask、Twisted（第2版）(博文视点出品),88.10
轻松学Python编程,39.90
【现货包邮】Python语言程序设计基础 第2版 嵩天 第二版 教育部大学计算机课程改革项目规划教材,34.80
11招玩转网络安全：用Python，更安全(博文视点出品),61.40
现货包邮 超简单：用Python让Excel飞起来 王秀文 郭明鑫 王宇韬|8071559,45.40
【自营】C++编程入门指南 Visual C++计算机程序员软件开发教材/可搭C语言/python/HTML/CSS/C#/PHP/Java,40.00
父与子的编程之旅 与小卡特一起学Python,48.30
Python核心编程 第3版 英文版(异步图书出品),44.55
Python人脸识别：从入门到工程实践,48.30
思维导图学Python 3.7青少年趣味编程,94.10
Python数据可视化之美(专业图表绘制指南) 计算机与互联网 张杰 电子工业出版社 9787121,96.80
流畅的Python python核心编程教程书籍 Python语言编程程序设计教材书 软件开发技术,69.50
Python统计分析(异步图书出品),35.55
【自营】C#编程入门指南 Visual Studio/Socket网络编程/WinForm/可搭C语言/python/HTML/CSS/C++/PHP/Java,40.00
趣学Python编程(异步图书出品),20.25
Python趣味编程：从入门到人工智能,47.20
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
数据结构 Python语言描述(异步图书出品),31.05
精通Python网络爬虫：核心技术、框架与项目实战,56.90
PYTHON趣味编程与精彩实例 中小学生课外读物少年少儿趣味编程零基础入门启蒙书Python语言基础,44.50
Python在机器学习中的应用,26.30
从零开始学Python数据分析（视频教学版）,48.30
Python大数据分析与机器学习商业案例实战,69.90
office高级应用与python综合案例实验指导,25.70
 Python程序设计 第3三版 董付国 高等院校信息技术规划教材 python语言编程,43.50
Python数据挖掘与机器学习实战,55.30
Python科学计算最佳实践 SciPy指南(图灵出品),48.70
Python科学计算（原书第2版）,62.30
零基础轻松学Python：青少年趣味编程（全彩版）,48.90
教孩子学Python编程,44.55
实战Python设计模式：可复用面向对象软件开发实践(博文视点出品),52.50
面向ArcGIS的Python脚本编程(异步图书出品),22.05
编程的乐趣 用Python解算法谜题(异步图书出品),26.55
量化投资：以Python为工具(博文视点出品),88.10
Python量化交易：策略、技巧与实战(博文视点出品),88.10
零起点Python大数据与量化交易(博文视点出品),88.10
Python大数据与机器学习实战(博文视点出品),105.90
Python编程自学手册(博文视点出品),79.20
Effective Python：改善Python程序的90个建议 （第2版）（英文版）(博文视点出品),113.90
树莓派趣学实战100例：网络应用+Python编程+传感器+服务器搭建,26.55
Python核心编程从入门到开发实战(博文视点出品),70.30
Python学习从入门到实践 python基础教程书籍 核心编程 网络爬虫,34.50
Python网络编程从入门到精通,53.50
金融科技人工智能实战：以Python为工具(博文视点出品),78.30
Python程序设计基础教程,52.20
Python人工智能开发从入门到精通,92.20
Python数据分析全流程实操指南,54.40
看漫画学Python 有趣 有料 好玩 好用 全彩版 python基础教程从入门到精通Python,59.80
Python深度学习TensorFlow与PyTorch 套装共2册,117.60
贝叶斯思维 统计建模的Python学习法(异步图书出品),22.05
Python编程从零基础到项目实战 从入门到实践 Python基础编程 python视频教程,79.80
Python数据可视化之matplotlib实践+精进（京东套装2册）,113.90
清华科技大讲堂：Python数据分析实战,17.55
Python深度学习：基于TensorFlow,55.30
Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,65.20
Python贝叶斯分析(异步图书出品),31.05
Python语言程序设计,34.10
Python基础教程（第2版）,35.10
Python面向对象编程指南(异步图书出品),55.70
精通Python爬虫框架Scrapy(异步图书出品),26.55
Python编程基础,28.10
语料库与Python应用/语料库翻译学文库,42.30
Python人工智能项目实战,55.30
Django项目开发实战（新时代·技术新未来）,35.55
Python数据科学零基础一本通,58.05
包邮 数据结构与算法：Python语言实现 计算机与互联网 |1016124,70.80
Python3.6编程实践指南 计算机科学入门（原书第3版）,56.90
Python参考手册 第4版 修订版(异步图书出品),40.05
Abaqus GUI程序开发指南 Python语言(异步图书出品),26.55
Python图形编程：2D和3D图像的创建,62.30
人工智能基础教程（Python篇青少版）,22.41
零基础轻松学Python,53.30
Python自然语言处理,65.80
智能风控：Python金融风险管理与评分卡建模,62.30
Python 3网络爬虫实战,35.55
趣学Python游戏编程,22.05
Python数据分析基础教程 NumPy学习指南 第2版 Python基础教程,36.90
【3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 pyt,139.80
Python编程从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍,66.80
Python无监督学习实战（影印版 英文版）,91.00
PyTorch深度学习(异步图书出品),24.75
小天才学Python（教学指导）,18.90
零基础入门学习Python （第2版）小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,38.50
Python 黑帽子：黑客与渗透测试编程之道(博文视点出品),49.00
Effective Python：编写高质量Python代码的59个有效方法,40.60
Python预测之美 数据分析与算法实战 预测概念理解 预测方法论 分析方法 特征技术,91.60
Python王者归来,57.60
Python自动化运维快速入门,26.55
Python设计模式,44.10
Python强化学习 套装共2册,138.60
Python深度学习,26.55
Python 3网络爬虫开发实战 崔庆才 9787115480347,49.96
计算机视觉与深度学习实战：以MATLAB、Python为工具(博文视点出品),97.00
Python游戏编程快速上手 第4版(异步图书出品),48.70
自然语言处理入门 Python/Java双代码实现(图灵出品),69.80
从零起步学编程 Python篇+Java篇+C#篇+CSS篇 套装全4册,75.00
计算机科学丛书：Python语言程序设计,55.30
利用Python轻松学数学(博文视点出品),61.40
Python地理空间分析指南（第2版）(异步图书出品),35.55
零基础学Python,65.20
基于股票大数据分析的Python入门实战（视频教学版）,31.05
Python Qt GUI与数据可视化编程,69.80
拿下Offer:数据分析师求职面试指南(博文视点出品),61.40
精通Python设计模式 第2版(图灵出品),34.60
PYTHON3网络爬虫开发实战,71.30
零基础编程必修课：Python+Java+C语言+SQL（全程视频版）（京东套装共4册）,125.00
Python量化交易实战,35.55
Python金融数据分析 Python，数据分析，金融，金融数据,53.82
给Python点颜色 青少年学编程,29.90
基于Python的语料库数据处理,54.40
你也能看得懂的Python算法书(博文视点出品),52.50
Python移动开发三剑客（京东套装共3册）,217.50
读故事学编程――Python王国历险记（双色）(博文视点出品),61.40
【包邮特价】利用Python进行数据分析（原书第2版） 计算机与互联网 |231781,57.10
Flask Web开发 基于Python的Web应用开发实战 第2版(图灵出品),48.70
人人都懂设计模式：从生活中领悟设计模式（Python实现）(博文视点出品),70.30
Python快速入门精讲,41.70
Python编程三剑客：Python编程从入门到实践+快速上手+极客项目编程（套装3册）,129.00
Python 3.7从入门到精通（视频教学版）,40.05
Python编程无师自通 专业程序员的养成(异步图书出品),26.55
Python袖珍指南（第5版）,29.10
MINECRAFT编程：使用Python语言玩转我的世界(博文视点出品),105.00
青少年Python创意编程趣味课堂（微课版）,31.41
PYTHON神经网络编程,49.70
Python编程与初级数学,34.70
Python 网络爬虫从入门到精通,75.10
Python数据科学实践,53.50
Python经典实例(图灵出品),98.00
基于Python的金融分析与风险管理,59.00
Python 3.5从零开始学 ,26.55
Python 3.7编程快速入门,26.55
Python实战指南——手把手教你掌握300个精彩案例（人工智能科学与技术丛书）,40.05
OpenCV轻松入门：面向Python(博文视点出品),88.10
Python金融大数据分析(第2版),72.30
编程超有趣 奇妙Python轻松学 第1辑,34.50
